packed,num_fields,takes_per_second
unpacked,2,308545.56074348406
unpacked,3,182530.5685406606
unpacked,4,95020.77490703641
unpacked,5,60276.50561705199
packed,2,281644.98683693475
packed,3,213071.37701770684
packed,4,222315.50692482674
packed,5,187728.31691125978

