use_cache,format,row_group_size,take_size,column,latency,io_size,iops
False,parquet,100000,1,double,1.609003967,1109644,24
False,parquet,100000,1,vector,2.129703422,1332777,24
False,parquet,100000,64,double,4.489670796,9476324,42
False,parquet,100000,64,vector,30.425571544,64762347,95
False,parquet,100000,256,double,4.407629263,9476324,42
False,parquet,100000,256,vector,98.54007686000001,230202460,263
False,parquet,100000,512,double,4.575053141000001,9476324,42
False,parquet,100000,512,vector,164.92973874999998,430077622,465
False,parquet,100000,1024,double,4.486813164999999,9476324,42
False,parquet,100000,1024,vector,251.67254046,722963998,761
False,lance,100000,1,double,0.801871059,244118,6
False,lance,100000,1,vector,0.881076733,250254,6
False,lance,100000,64,double,1.262124807,246398,68
False,lance,100000,64,vector,1.658118439,637326,69
False,lance,100000,256,double,2.5622424259999996,279534,242
False,lance,100000,256,vector,4.76378585,1816974,261
False,lance,100000,512,double,3.789643897,401230,427
False,lance,100000,512,vector,7.65729559,3389838,517
False,lance,100000,1024,double,5.7555019750000005,675438,723
False,lance,100000,1024,vector,13.79826197,6535566,1027
True,parquet,100000,1,double,1.01878648,997497,2
True,parquet,100000,1,vector,1.5767078879999998,1220797,2
True,parquet,100000,64,double,3.825592988,9364304,20
True,parquet,100000,64,vector,29.747216143000003,63660846,72
True,parquet,100000,256,double,3.846588776,9364304,20
True,parquet,100000,256,vector,96.01482371,226925211,237
True,parquet,100000,512,double,3.846585622,9364304,20
True,parquet,100000,512,vector,162.63007525,425018197,438
True,parquet,100000,1024,double,3.8638445430000004,9364304,20
True,parquet,100000,1024,vector,249.53461,716515969,735
True,lance,100000,1,double,0.059858921,8,1
True,lance,100000,1,vector,0.069972152,6144,1
True,lance,100000,64,double,0.497247989,7488,61
True,lance,100000,64,vector,0.811965606,393216,64
True,lance,100000,256,double,1.7572199419999999,49984,231
True,lance,100000,256,vector,3.02228223,1572864,256
True,lance,100000,512,double,2.983629946,157664,419
True,lance,100000,512,vector,6.047790559999999,3145728,512
True,lance,100000,1024,double,4.847922283,492776,717
True,lance,100000,1024,vector,11.51758478,6291456,1022
