query,row_group_size,avg_time_seconds,min_time_seconds,min_ram_bytes,avg_ram_bytes,runs
Q1,4096,1.1400012175242107,1.119182825088501,746856480,746913162.6666666,3
Q3,4096,0.8486529191335043,0.8130013942718506,747026528,747026528.0,3
Q6,4096,0.6469259262084961,0.6251497268676758,747026528,747026528.0,3
Q12,4096,0.7570632298787435,0.7191107273101807,883074176,883074176.0,3
S1,4096,0.4702804883321126,0.4676671028137207,883074176,883074176.0,3
S2,4096,0.7311829725901285,0.6620726585388184,1158375424,1158434133.3333333,3
Q1,16384,0.5787041187286377,0.5613157749176025,203186208,203186208.0,3
Q3,16384,0.410050630569458,0.40406012535095215,278450176,278465194.6666667,3
Q6,16384,0.2737882932027181,0.2643868923187256,278495232,278495232.0,3
Q12,16384,0.3738872210184733,0.3666496276855469,278495232,278495232.0,3
S1,16384,0.1144711176554362,0.11133718490600586,278495232,278495232.0,3
S2,16384,0.32059486707051593,0.31690239906311035,278495232,278495232.0,3
Q1,65536,0.4049226442972819,0.4024820327758789,81449792,81449792.0,3
Q3,65536,0.34098347028096515,0.33763813972473145,241655808,241655808.0,3
Q6,65536,0.14020872116088867,0.13794565200805664,241655808,241655808.0,3
Q12,65536,0.20134655634562174,0.19945049285888672,241655808,241655808.0,3
S1,65536,0.043039401372273765,0.04210400581359863,241655808,241655808.0,3
S2,65536,0.3043101628621419,0.3006880283355713,241655808,241655808.0,3
Q1,262144,0.4845832983652751,0.430156946182251,117715584,118024192.0,3
Q3,262144,0.35880041122436523,0.33606910705566406,336908288,345583616.0,3
Q6,262144,0.13432828585306802,0.13358449935913086,349921280,349921280.0,3
Q12,262144,0.19271341959635416,0.19026589393615723,349921280,349921280.0,3
S1,262144,0.025795936584472656,0.02540421485900879,349921280,349921280.0,3
S2,262144,0.30568885803222656,0.30488014221191406,349921280,349921280.0,3
Q1,1048576,0.43622779846191406,0.43154072761535645,452162016,452162016.0,3
Q3,1048576,0.41679732004801434,0.3911569118499756,846290944,846304597.3333334,3
Q6,1048576,0.14756139119466147,0.14696049690246582,846331904,846331904.0,3
Q12,1048576,0.21718192100524902,0.21343755722045898,846331904,846331904.0,3
S1,1048576,0.023359378178914387,0.023174524307250977,846331904,846331904.0,3
S2,1048576,0.3304843107859294,0.32741546630859375,923209728,943094442.6666666,3
Q1,4194304,0.5269189675649008,0.470137357711792,1609293824,1609293824.0,3
Q3,4194304,0.4613523483276367,0.4575614929199219,2589155328,2589200384.0,3
Q6,4194304,0.16541441281636557,0.1593477725982666,2589222912,2589222912.0,3
Q12,4194304,0.28677932421366376,0.28487300872802734,2589222912,2589222912.0,3
S1,4194304,0.027900536855061848,0.02684187889099121,2589222912,2589222912.0,3
S2,4194304,0.34188683827718097,0.3378334045410156,2715022080,2715031616.0,3
Q1,16777216,1.0778085390726726,1.0687148571014404,1141731328,1141785941.3333333,3
Q3,16777216,1.0948216915130615,1.0760135650634766,1679388672,1679413248.0,3
Q6,16777216,0.30131999651590985,0.29561758041381836,1679425536,1679425536.0,3
Q12,16777216,0.656365156173706,0.6479740142822266,1679425536,1679425536.0,3
S1,16777216,0.05574878056844076,0.04909658432006836,1679425536,1679425536.0,3
S2,16777216,0.6027326583862305,0.5920794010162354,1816836416,1816858880.0,3
