timestamp_ns,duration_ns,requests_in_flight,path,range_start,range_end
1758110772153830387,27958,0,tmp/.tmpj7S3Gu.parquet,17876095,26146175
1758110772153834632,28875,0,tmp/.tmpj7S3Gu.parquet,50956415,59226495
1758110772153832187,35255,0,tmp/.tmpj7S3Gu.parquet,34416255,42686335
1758110772153824930,45833,0,tmp/.tmpj7S3Gu.parquet,1335935,9606015
1758110772153841210,63138,0,tmp/.tmpj7S3Gu.parquet,100576895,108846975
1758110772153837047,70989,0,tmp/.tmpj7S3Gu.parquet,67496575,75766655
1758110772153845877,64438,0,tmp/.tmpj7S3Gu.parquet,133657215,141927295
1758110772153849251,82190,0,tmp/.tmpj7S3Gu.parquet,150197375,158467455
1758110772153843328,102443,0,tmp/.tmpj7S3Gu.parquet,117117055,125387135
1758110772153839020,108784,0,tmp/.tmpj7S3Gu.parquet,84036735,92306815
1758110772153866245,105287,0,tmp/.tmpj7S3Gu.parquet,333475109,341745189
1758110772153923993,95252,0,tmp/.tmpj7S3Gu.parquet,997753457,1006023537
1758110772153964982,57134,0,tmp/.tmpj7S3Gu.parquet,1030833777,1039103857
1758110772153976260,105728,0,tmp/.tmpj7S3Gu.parquet,1047373937,1055644017
1758110772153980166,106789,0,tmp/.tmpj7S3Gu.parquet,1063914097,1072184177
1758110772153989164,103857,0,tmp/.tmpj7S3Gu.parquet,1096994417,1105264497
1758110772153993398,102602,0,tmp/.tmpj7S3Gu.parquet,1113534577,1121804657
1758110772153985050,113370,0,tmp/.tmpj7S3Gu.parquet,1080454257,1088724337
1758110772153933813,168846,0,tmp/.tmpj7S3Gu.parquet,1014293617,1022563697
1758110772153996766,109833,0,tmp/.tmpj7S3Gu.parquet,1130074737,1138344817
1758110772154112399,43680,0,tmp/.tmpj7S3Gu.parquet,2674989487,2683259567
1758110772154116276,44376,0,tmp/.tmpj7S3Gu.parquet,2691529647,2699799727
1758110772154003292,165748,0,tmp/.tmpj7S3Gu.parquet,1146614897,1154884977
1758110772153883267,296503,0,tmp/.tmpj7S3Gu.parquet,366555429,374825509
1758110772153874833,310156,0,tmp/.tmpj7S3Gu.parquet,350015269,358285349
1758110772154017917,205226,0,tmp/.tmpj7S3Gu.parquet,1329892631,1338162711
1758110772154069968,163112,0,tmp/.tmpj7S3Gu.parquet,2375930633,2384200713
1758110772153892494,357370,0,tmp/.tmpj7S3Gu.parquet,383095589,391365669
1758110772153897656,360603,0,tmp/.tmpj7S3Gu.parquet,399635749,407905829
1758110772154030605,248380,0,tmp/.tmpj7S3Gu.parquet,1346432791,1354702871
1758110772154033514,248374,0,tmp/.tmpj7S3Gu.parquet,1362972951,1371243031
1758110772154053662,240018,0,tmp/.tmpj7S3Gu.parquet,1379513111,1387783191
1758110772154057711,240421,0,tmp/.tmpj7S3Gu.parquet,1396053271,1404323351
1758110772154076841,226113,0,tmp/.tmpj7S3Gu.parquet,1445673751,1453943831
1758110772154068525,237077,0,tmp/.tmpj7S3Gu.parquet,1412593431,1420863511
1758110772154125883,188485,0,tmp/.tmpj7S3Gu.parquet,2724609967,2732880047
1758110772154100641,218652,0,tmp/.tmpj7S3Gu.parquet,2658449327,2666719407
1758110772154130404,190994,0,tmp/.tmpj7S3Gu.parquet,2741150127,2749420207
1758110772153915398,412160,0,tmp/.tmpj7S3Gu.parquet,416175909,424445989
1758110772153919257,413831,0,tmp/.tmpj7S3Gu.parquet,432716069,440986149
1758110772153924255,420926,0,tmp/.tmpj7S3Gu.parquet,449256229,457526309
1758110772153960270,386924,0,tmp/.tmpj7S3Gu.parquet,482336549,490606629
1758110772154071708,308372,0,tmp/.tmpj7S3Gu.parquet,1429133591,1437403671
1758110772154033844,357090,0,tmp/.tmpj7S3Gu.parquet,1662031805,1670301885
1758110772154081725,312454,0,tmp/.tmpj7S3Gu.parquet,1462213911,1470483991
1758110772154210185,185997,0,tmp/.tmpj7S3Gu.parquet,1478754071,1487024151
1758110772154121504,298070,0,tmp/.tmpj7S3Gu.parquet,2708069807,2716339887
1758110772154050811,384628,0,tmp/.tmpj7S3Gu.parquet,2326310153,2334580233
1758110772154056394,384146,0,tmp/.tmpj7S3Gu.parquet,2342850313,2351120393
1758110772154176703,278866,0,tmp/.tmpj7S3Gu.parquet,2990588501,2998858581
1758110772154190363,267971,0,tmp/.tmpj7S3Gu.parquet,3007128661,3015398741
1758110772154195775,266764,0,tmp/.tmpj7S3Gu.parquet,3023668821,3031938901
1758110772154201857,264639,0,tmp/.tmpj7S3Gu.parquet,3040208981,3048479061
1758110772153929864,545515,0,tmp/.tmpj7S3Gu.parquet,465796389,474066469
1758110772154173861,322336,0,tmp/.tmpj7S3Gu.parquet,1678571965,1686842045
1758110772154180414,318122,0,tmp/.tmpj7S3Gu.parquet,1695112125,1703382205
1758110772154280730,219977,0,tmp/.tmpj7S3Gu.parquet,1711652285,1719922365
1758110772154367112,137341,0,tmp/.tmpj7S3Gu.parquet,1744732605,1753002685
1758110772154370098,138968,0,tmp/.tmpj7S3Gu.parquet,1761272765,1769542845
1758110772154362860,148527,0,tmp/.tmpj7S3Gu.parquet,1728192445,1736462525
1758110772154375811,139452,0,tmp/.tmpj7S3Gu.parquet,1794353085,1802623165
1758110772154372364,149576,0,tmp/.tmpj7S3Gu.parquet,1777812925,1786083005
1758110772154378575,147618,0,tmp/.tmpj7S3Gu.parquet,1810893245,1819163325
1758110772154066545,481842,0,tmp/.tmpj7S3Gu.parquet,2359390473,2367660553
1758110772154212660,338359,0,tmp/.tmpj7S3Gu.parquet,3056749141,3065019221
1758110772154431377,122954,0,tmp/.tmpj7S3Gu.parquet,3089829461,3098099541
1758110772154433673,122715,0,tmp/.tmpj7S3Gu.parquet,3106369621,3114639701
1758110772154074802,497850,0,tmp/.tmpj7S3Gu.parquet,1994170979,2002441059
1758110772154237660,336141,0,tmp/.tmpj7S3Gu.parquet,2392470793,2400740873
1758110772154426168,156874,0,tmp/.tmpj7S3Gu.parquet,3073289301,3081559381
1758110772154436910,148144,0,tmp/.tmpj7S3Gu.parquet,3122909781,3131179861
1758110772154447097,140043,0,tmp/.tmpj7S3Gu.parquet,3139449941,3147720021
1758110772154085363,513077,0,tmp/.tmpj7S3Gu.parquet,2010711139,2018981219
1758110772154135705,466489,0,tmp/.tmpj7S3Gu.parquet,2757690287,2765960367
1758110772154244845,359398,0,tmp/.tmpj7S3Gu.parquet,2409010953,2417281033
1758110772154139952,464701,0,tmp/.tmpj7S3Gu.parquet,2774230447,2782500527
1758110772154143356,464698,0,tmp/.tmpj7S3Gu.parquet,2790770607,2799040687
1758110772154148006,464206,0,tmp/.tmpj7S3Gu.parquet,2807310767,2815580847
1758110772153918960,718998,0,tmp/.tmpj7S3Gu.parquet,665614283,673884363
1758110772154270095,370980,0,tmp/.tmpj7S3Gu.parquet,682154443,690424523
1758110772154352713,290849,0,tmp/.tmpj7S3Gu.parquet,715234763,723504843
1758110772154349301,296039,0,tmp/.tmpj7S3Gu.parquet,698694603,706964683
1758110772154088570,562344,0,tmp/.tmpj7S3Gu.parquet,2027251299,2035521379
1758110772154232926,420209,0,tmp/.tmpj7S3Gu.parquet,2043791459,2052061539
1758110772154243679,413457,0,tmp/.tmpj7S3Gu.parquet,2060331619,2068601699
1758110772154249524,411123,0,tmp/.tmpj7S3Gu.parquet,2425551113,2433821193
1758110772154254846,408251,0,tmp/.tmpj7S3Gu.parquet,2442091273,2450361353
1758110772154261737,403113,0,tmp/.tmpj7S3Gu.parquet,2458631433,2466901513
1758110772154354784,314222,0,tmp/.tmpj7S3Gu.parquet,731774923,740045003
1758110772154424838,244444,0,tmp/.tmpj7S3Gu.parquet,2475171593,2483441673
1758110772154357481,315624,0,tmp/.tmpj7S3Gu.parquet,748315083,756585163
1758110772154561666,114046,0,tmp/.tmpj7S3Gu.parquet,764855243,773125323
1758110772154568295,110728,0,tmp/.tmpj7S3Gu.parquet,781395403,789665483
1758110772154592042,89912,0,tmp/.tmpj7S3Gu.parquet,797935563,806205643
1758110772154625842,58883,0,tmp/.tmpj7S3Gu.parquet,814475723,822745803
1758110772154312005,382557,0,tmp/.tmpj7S3Gu.parquet,2076871779,2085141859
1758110772154325086,373367,0,tmp/.tmpj7S3Gu.parquet,2093411939,2101682019
1758110772154328700,373147,0,tmp/.tmpj7S3Gu.parquet,2109952099,2118222179
1758110772154457537,246395,0,tmp/.tmpj7S3Gu.parquet,2126492259,2134762339
1758110772154554349,153569,0,tmp/.tmpj7S3Gu.parquet,2143032419,2151302499
1758110772378380552,40707,0,tmp/.tmpj7S3Gu.parquet,2823850927,2832121007
1758110772378990293,24753,0,tmp/.tmpj7S3Gu.parquet,2840391087,2848661167
1758110772380827999,64426,0,tmp/.tmpj7S3Gu.parquet,166737535,175007615
1758110772380836224,60567,0,tmp/.tmpj7S3Gu.parquet,183277695,191547775
1758110772380839973,58847,0,tmp/.tmpj7S3Gu.parquet,199817855,208087935
1758110772380848228,52078,0,tmp/.tmpj7S3Gu.parquet,232898175,241168255
1758110772380859409,42456,0,tmp/.tmpj7S3Gu.parquet,265978495,274248575
1758110772380844605,60212,0,tmp/.tmpj7S3Gu.parquet,216358015,224628095
1758110772380853462,53564,0,tmp/.tmpj7S3Gu.parquet,249438335,257708415
1758110772380863651,45443,0,tmp/.tmpj7S3Gu.parquet,282518655,290788735
1758110772380868753,45653,0,tmp/.tmpj7S3Gu.parquet,299058815,307328895
1758110772380880706,35895,0,tmp/.tmpj7S3Gu.parquet,315598975,323869055
1758110772382108875,23302,0,tmp/.tmpj7S3Gu.parquet,1163155057,1171425137
1758110772382112357,21374,0,tmp/.tmpj7S3Gu.parquet,1179695217,1187965297
1758110772382118481,17184,0,tmp/.tmpj7S3Gu.parquet,1229315697,1237585777
1758110772382121192,15962,0,tmp/.tmpj7S3Gu.parquet,1245855857,1254125937
1758110772382113829,24728,0,tmp/.tmpj7S3Gu.parquet,1196235377,1204505457
1758110772382116155,23744,0,tmp/.tmpj7S3Gu.parquet,1212775537,1221045617
1758110772382261353,18152,0,tmp/.tmpj7S3Gu.parquet,1262396017,1270666097
1758110772382265440,20394,0,tmp/.tmpj7S3Gu.parquet,1278936177,1287206257
1758110772382451958,24687,0,tmp/.tmpj7S3Gu.parquet,1495294231,1503564311
1758110772382699021,16125,0,tmp/.tmpj7S3Gu.parquet,498876709,507146789
1758110772383494638,19363,0,tmp/.tmpj7S3Gu.parquet,515416869,523686949
1758110772383497978,17172,0,tmp/.tmpj7S3Gu.parquet,531957029,540227109
1758110772383801113,16479,0,tmp/.tmpj7S3Gu.parquet,2491711753,2499981833
1758110772384085220,25256,0,tmp/.tmpj7S3Gu.parquet,2856931247,2865201327
1758110772384091572,21068,0,tmp/.tmpj7S3Gu.parquet,2890011567,2898281647
1758110772384089629,24016,0,tmp/.tmpj7S3Gu.parquet,2873471407,2881741487
1758110772384093171,21399,0,tmp/.tmpj7S3Gu.parquet,2906551727,2914821807
1758110772384686553,18109,0,tmp/.tmpj7S3Gu.parquet,548497189,556767269
1758110772385553552,18436,0,tmp/.tmpj7S3Gu.parquet,3155990101,3164260181
1758110772386033374,18953,0,tmp/.tmpj7S3Gu.parquet,2939632047,2947902127
1758110772386028642,25282,0,tmp/.tmpj7S3Gu.parquet,2923091887,2931361967
1758110772386035021,20607,0,tmp/.tmpj7S3Gu.parquet,2956172207,2964442287
1758110772386036564,20807,0,tmp/.tmpj7S3Gu.parquet,2972712367,2980982447
1758110772387306398,25237,0,tmp/.tmpj7S3Gu.parquet,1827433405,1835703485
1758110772387763401,26791,0,tmp/.tmpj7S3Gu.parquet,2159572579,2167842659
1758110772387768635,24235,0,tmp/.tmpj7S3Gu.parquet,2176112739,2184382819
1758110772387771335,23293,0,tmp/.tmpj7S3Gu.parquet,2192652899,2200922979
1758110772387778003,18036,0,tmp/.tmpj7S3Gu.parquet,2225733219,2234003299
1758110772387775079,23139,0,tmp/.tmpj7S3Gu.parquet,2209193059,2217463139
1758110772388011425,23241,0,tmp/.tmpj7S3Gu.parquet,565037349,573307429
1758110772388014865,21439,0,tmp/.tmpj7S3Gu.parquet,581577509,589847589
1758110772388016931,20887,0,tmp/.tmpj7S3Gu.parquet,598117669,606387749
1758110772388021381,17836,0,tmp/.tmpj7S3Gu.parquet,631197989,639468069
1758110772388019083,21515,0,tmp/.tmpj7S3Gu.parquet,614657829,622927909
1758110772388023817,18082,0,tmp/.tmpj7S3Gu.parquet,647738149,656008229
1758110772388251213,18425,0,tmp/.tmpj7S3Gu.parquet,2508251913,2516521993
1758110772388260902,11328,0,tmp/.tmpj7S3Gu.parquet,2590952713,2599222793
1758110772388254836,19300,0,tmp/.tmpj7S3Gu.parquet,2524792073,2533062153
1758110772388256486,19524,0,tmp/.tmpj7S3Gu.parquet,2541332233,2549602313
1758110772388259404,17847,0,tmp/.tmpj7S3Gu.parquet,2574412553,2582682633
1758110772388257987,21210,0,tmp/.tmpj7S3Gu.parquet,2557872393,2566142473
1758110772388295069,20972,0,tmp/.tmpj7S3Gu.parquet,1511834391,1520104471
1758110772388623336,19753,0,tmp/.tmpj7S3Gu.parquet,1843973565,1852243645
1758110772388627382,17019,0,tmp/.tmpj7S3Gu.parquet,1860513725,1868783805
1758110772388628849,17372,0,tmp/.tmpj7S3Gu.parquet,1877053885,1885323965
1758110772388903583,17132,0,tmp/.tmpj7S3Gu.parquet,1295476337,1303746417
1758110772388906554,15446,0,tmp/.tmpj7S3Gu.parquet,1312016497,1320286577
1758110772389573534,20889,0,tmp/.tmpj7S3Gu.parquet,2258813539,2267083619
1758110772389567858,28733,0,tmp/.tmpj7S3Gu.parquet,2242273379,2250543459
1758110772389630294,21066,0,tmp/.tmpj7S3Gu.parquet,3172530261,3180800341
1758110772389633419,19962,0,tmp/.tmpj7S3Gu.parquet,3189070421,3197340501
1758110772389636212,18963,0,tmp/.tmpj7S3Gu.parquet,3205610581,3213880661
1758110772389638312,18282,0,tmp/.tmpj7S3Gu.parquet,3222150741,3230420821
1758110772389712478,19039,0,tmp/.tmpj7S3Gu.parquet,1893594045,1901864125
1758110772389720400,13483,0,tmp/.tmpj7S3Gu.parquet,1943214525,1951484605
1758110772389715576,20915,0,tmp/.tmpj7S3Gu.parquet,1910134205,1918404285
1758110772389717491,20626,0,tmp/.tmpj7S3Gu.parquet,1926674365,1934944445
1758110772389723069,17315,0,tmp/.tmpj7S3Gu.parquet,1959754685,1968024765
1758110772389724884,17864,0,tmp/.tmpj7S3Gu.parquet,1976294845,1984564925
1758110772389892038,21154,0,tmp/.tmpj7S3Gu.parquet,2275353699,2283623779
