query,row_group_size,avg_time_seconds,min_time_seconds,min_ram_bytes,avg_ram_bytes,runs
elephant_exact,1024,0.7139483292897543,0.7013528347015381,109707264,111236437.33333333,3
elephant_case_insensitive,1024,1.1040882269541423,1.0793113708496094,112001024,112001024.0,3
elephant_with_data,1024,0.7348201274871826,0.7271125316619873,126029824,126029824.0,3
elephant_stats,1024,0.7094282309214274,0.7079930305480957,186265600,186265600.0,3
elephant_regex,1024,0.8947658538818359,0.884099006652832,186265600,186265600.0,3
multiple_animals,1024,0.9157355626424154,0.9143166542053223,186265600,186265600.0,3
elephant_exact,2048,0.7386122544606527,0.7051684856414795,112001024,112001024.0,3
elephant_case_insensitive,2048,1.1020703315734863,1.0737731456756592,112001024,112001024.0,3
elephant_with_data,2048,0.7376651763916016,0.7341618537902832,125521920,125521920.0,3
elephant_stats,2048,0.7185099124908447,0.7111458778381348,185802752,185825962.66666666,3
elephant_regex,2048,0.8929893175760905,0.8893427848815918,185872384,185872384.0,3
multiple_animals,2048,0.9135244687398275,0.9131462574005127,185872384,185872384.0,3
elephant_exact,4096,0.8151957988739014,0.7616841793060303,738852864,738852864.0,3
elephant_case_insensitive,4096,1.2180627187093098,1.189732551574707,738852864,738852864.0,3
elephant_with_data,4096,0.7883954842885336,0.7879977226257324,764870656,764870656.0,3
elephant_stats,4096,0.7447660764058431,0.7374804019927979,1178058752,1178058752.0,3
elephant_regex,4096,0.9837443828582764,0.9732720851898193,1178058752,1178058752.0,3
multiple_animals,4096,0.9737300872802734,0.9701652526855469,1178058752,1178058752.0,3
elephant_exact,8192,0.7858984470367432,0.7567973136901855,1040187392,1040187392.0,3
elephant_case_insensitive,8192,1.1769495010375977,1.136357307434082,1040187392,1040187392.0,3
elephant_with_data,8192,0.8196048736572266,0.8106088638305664,1049657344,1050001408.0,3
elephant_stats,8192,0.7440497080485026,0.7368004322052002,1562685440,1573856597.3333333,3
elephant_regex,8192,0.9895400206247965,0.9759974479675293,1579442176,1579442176.0,3
multiple_animals,8192,0.9961160024007162,0.9789257049560547,1579442176,1579442176.0,3
elephant_exact,16384,0.7751315434773763,0.7724332809448242,2080374784,2080418474.6666667,3
elephant_case_insensitive,16384,1.262679656346639,1.2620940208435059,2080440320,2080440320.0,3
elephant_with_data,16384,0.9416657288869222,0.902134895324707,2091880448,2091997866.6666667,3
elephant_stats,16384,0.7868297894795736,0.785686731338501,3156013056,3156033536.0,3
elephant_regex,16384,1.0947649478912354,1.0888102054595947,3156045824,3156045824.0,3
multiple_animals,16384,1.0267868836720784,1.0220367908477783,3156045824,3156045824.0,3
elephant_exact,32768,0.8270437717437744,0.7804322242736816,3153952768,3153952768.0,3
elephant_case_insensitive,32768,1.2907040913899739,1.2827339172363281,3153952768,3153952768.0,3
elephant_with_data,32768,1.0276445547739665,1.0074362754821777,3153952768,3159345834.6666665,3
elephant_stats,32768,0.8011721769968668,0.7941648960113525,4125016064,4125026986.6666665,3
elephant_regex,32768,1.1480857531229656,1.1225359439849854,4125032448,4125032448.0,3
multiple_animals,32768,1.031596024831136,1.016568660736084,4125032448,4125032448.0,3
elephant_exact,65536,0.7684686183929443,0.7643120288848877,4966055936,4966055936.0,3
elephant_case_insensitive,65536,1.2416101296742756,1.2073662281036377,4966088704,4966088704.0,3
elephant_with_data,65536,1.1158711115519206,1.0604054927825928,4988612608,4988854272.0,3
elephant_stats,65536,0.7648347218831381,0.7629032135009766,4988977152,4988977152.0,3
elephant_regex,65536,1.0999689896901448,1.0679242610931396,4988977152,4988977152.0,3
multiple_animals,65536,1.0696087678273518,1.055924892425537,4988977152,4988977152.0,3
elephant_exact,131072,0.9181894461313883,0.8946268558502197,2550136832,2594766848.0,3
elephant_case_insensitive,131072,1.457236607869466,1.4420781135559082,2617147392,2617147392.0,3
elephant_with_data,131072,1.496878703435262,1.4723381996154785,2623463424,2623463424.0,3
elephant_stats,131072,0.934891939163208,0.9298598766326904,2623463424,2623463424.0,3
elephant_regex,131072,1.6277860800425212,1.607304573059082,2623463424,2623463424.0,3
multiple_animals,131072,1.3236054579416912,1.3103489875793457,2623463424,2623463424.0,3
elephant_exact,262144,1.5463958581288655,1.467484474182129,1275101184,1275101184.0,3
elephant_case_insensitive,262144,2.9255594412485757,2.865731716156006,1275101184,1275123029.3333333,3
elephant_with_data,262144,2.734821081161499,2.6887104511260986,1279578112,1279608149.3333333,3
elephant_stats,262144,1.5218727588653564,1.4866113662719727,1279623168,1279623168.0,3
elephant_regex,262144,2.844569762547811,2.8081884384155273,1279623168,1279623168.0,3
multiple_animals,262144,2.30570650100708,2.254563331604004,1279623168,1279623168.0,3
elephant_exact,524288,2.840548356374105,2.7935845851898193,604078080,604078080.0,3
elephant_case_insensitive,524288,4.78028933207194,4.731540203094482,604078080,604078080.0,3
elephant_with_data,524288,4.421420335769653,4.308941125869751,810766336,810771797.3333334,3
elephant_stats,524288,2.886404275894165,2.8357412815093994,810782720,810782720.0,3
elephant_regex,524288,5.546096722284953,5.427356481552124,810782720,810782720.0,3
multiple_animals,524288,4.0708450476328535,4.032597303390503,810782720,810782720.0,3
elephant_exact,1048576,5.278284549713135,5.245817184448242,268500992,268500992.0,3
elephant_case_insensitive,1048576,9.186770677566528,9.136781930923462,268500992,268500992.0,3
elephant_with_data,1048576,8.482926766077677,8.33478307723999,475000832,475006293.3333333,3
elephant_stats,1048576,5.263912359873454,5.258275747299194,475009024,475009024.0,3
elephant_regex,1048576,10.225011666615805,10.213808536529541,475009024,475009024.0,3
multiple_animals,1048576,7.682501872380574,7.6167893409729,475009024,475009024.0,3
