page_size_kb,row_group_size,category,iterations_per_second,mem_bytes_per_second,disk_bytes_per_second,file_size_bytes
256,1048576,embeddings,2.4624087300095585,1498265475.0967913,1053307498.560715,427754940
0,1024,embeddings,2.4793580118960343,1424369359.483767,1269826486.9642856,512159390
0,10240,embeddings,2.2989499167646863,1354117401.3763003,1002001411.0537903,435851779
0,102400,embeddings,2.673624268375095,1758424628.9992397,1145250757.2521815,428351422
0,1048576,embeddings,2.084939495250008,1294007122.9137974,891781450.315359,427725338
8,1024,names,98.9905524569801,1740166008.5831282,897958545.8823448,9071154
8,10240,names,250.1350345778944,3654688971.8529124,2214525754.4641986,8853321
8,102400,names,246.57885134498457,4104912550.9269824,1215297896.7352421,4928638
8,1048576,names,321.55493299226964,5563461132.569403,972619746.4641047,3024739
32,1024,names,100.02785739148166,1758400908.204884,907368098.6881684,9071154
32,10240,names,248.6369768951962,3632801054.786854,2214356938.036987,8905984
32,102400,names,240.40745228199657,4002174407.1962557,1190341679.263916,4951351
32,1048576,names,309.4250082300052,5353592279.593442,934234240.9235171,3019259
64,1024,names,79.7088543231708,1401210877.5387037,723051292.7290481,9071154
64,10240,names,218.96030871969248,3199199292.101441,1950057006.0926418,8905984
64,102400,names,233.84588305674464,3892940919.7353663,1157237096.8629243,4948717
64,1048576,names,311.2557848064906,5385267907.240991,938575633.7831626,3015448
256,1024,names,85.60858023419749,1504922820.0979438,776568615.0257615,9071154
256,10240,names,227.75346098083773,3327674843.9203267,2028368679.4399652,8905984
256,102400,names,237.21788011634467,3949076119.3931637,1175016069.9378924,4953320
256,1048576,names,309.84458458656337,5360851682.303065,935561470.3082371,3019454
0,1024,names,97.09972802465667,1706926994.1149786,880806586.2697765,9071154
0,10240,names,219.34928967494588,3204882639.9372387,1953521264.2564332,8905984
0,102400,names,228.35894702465905,3801597349.6709185,1129583925.5079927,4946528
0,1048576,names,302.5680931730037,5234955690.647458,912758982.0835594,3016706
8,10240,dates,6.347983676743633,1526732428.0039349,942514768.8739302,148474668
8,102400,dates,11.729509235244988,4505271842.303889,1133490367.8011768,96635788
8,1048576,dates,18.449304547150486,5537751518.161127,1683397365.8101225,91244489
32,10240,dates,8.681910708303196,2088057451.0551643,1286930945.5033464,148231304
32,102400,dates,16.590515027926582,6372370634.232762,1596633688.3142061,96237741
32,1048576,dates,14.74529180408878,4425953393.806016,1339585401.1794052,90848348
64,10240,dates,8.518823655649978,2048833926.7752504,1262756339.0230434,148231304
64,102400,dates,12.181825202339015,5609879026.489984,1172307983.6140795,96234182
64,1048576,dates,17.807759901344337,6414202397.115316,1617323209.8253284,90821261
256,10240,dates,8.891706998512586,2138514858.611371,1318029323.1754467,148231304
256,102400,dates,14.01621844803461,4307030087.06735,1348417975.537154,96204121
256,1048576,dates,17.79634280394857,4273426401.04317,1615722702.2626266,90789592
0,10240,dates,8.293396868180933,1994617280.3414187,1229341032.3599758,148231304
0,102400,dates,13.318734404714538,5115688805.494271,1281764912.088707,96237741
0,1048576,dates,14.012961277015675,4206136734.715677,1273054382.6048443,90848348
8,1024,code,3.621238114292152,4301813808.281553,1034564006.5223811,285693449
8,10240,code,4.370452070926931,5241531628.235231,1245618751.1824872,285009132
8,102400,code,3.907123484068169,4686094569.847784,1113905022.8508723,285095935
8,1048576,code,3.5821492972953504,4296329624.310107,1021256203.2220109,285095935
32,1024,code,3.9482786668274237,4690318380.574575,1107689422.047287,280549960
32,10240,code,4.243043213925273,5033577392.130024,1184429482.9499776,279146222
32,102400,code,4.039636410556163,4744053212.698591,1127566251.9699755,279125678
32,1048576,code,4.18624686481873,4916229053.757458,1168488994.4179022,279125678
64,1024,code,3.8728450140949757,4600707722.923306,1085458030.7067611,280274069
64,10240,code,4.286477951230833,5111315953.220221,1195246415.6519816,278841144
64,102400,code,3.835603813177229,4474079958.160236,1069387446.6059916,278805502
64,1048576,code,3.5638158460377096,4157050057.295485,993611465.9900984,278805502
256,1024,code,3.723998976354134,4423872358.5982485,1042352054.132219,279901273
256,10240,code,3.6215033555345935,4215095887.344779,1008093251.9928371,278363197
256,102400,code,3.5494457138192326,4056261611.572099,987863667.9409312,278314911
256,1048576,code,3.843404867144773,4392194409.293809,1069676883.5363643,278314911
0,1024,code,2.3865603502955097,2835090636.1774273,667841230.2422673,279834210
0,10240,code,2.982770894894742,2627566999.477084,829761960.3266654,278184946
0,102400,code,2.345368472991503,1957613670.8422437,652304009.3548317,278124319
0,1048576,code,2.813272983923801,2348160520.003859,782439632.8149052,278124319
