format,nesting_level,takes_per_second
parquet,1,295773.2041744637
parquet,2,231573.27518382733
parquet,3,172616.21648374025
parquet,4,130917.58968043154
parquet,5,101538.55074319043
lance2-0,1,495857.42678721115
lance2-0,2,350262.17796030635
lance2-0,3,261686.9318324775
lance2-0,4,194861.3017267029
lance2-0,5,132317.31331438158
lance2-1,1,314224.1382389643
lance2-1,2,233327.36713892114
lance2-1,3,176048.79844939773
lance2-1,4,139223.84467627713
lance2-1,5,0
