encoding,size_bytes,takes_per_second
mb,32,222780.60834591373
mb,64,165214.06046494894
mb,128,115598.03444245149
mb,256,68408.31347720115
mb,512,70461.18269320168
fz,32,453570.37123708817
fz,64,396590.2121787999
fz,128,342200.2420678263
fz,256,293730.39990905975
fz,512,355466.81565878936
