format,nesting_level,takes_per_second
lance2-0,1,12245.284048590609
lance2-0,2,11014.654790362812
lance2-0,3,7459.886268881886
lance2-0,4,5762.29294099343
lance2-0,5,3354.595501832945
lance2-1,1,11904.233030692178
lance2-1,2,12102.837227723332
lance2-1,3,11007.283259808875
lance2-1,4,10185.437521853679
lance2-1,5,9721.613170686436
