packed,num_fields,takes_per_second
unpacked,2,240418.75507278935
unpacked,3,128789.81698558046
unpacked,4,77482.48372365684
unpacked,5,58266.03481903855
packed,2,225390.0383753588
packed,3,182068.16815677338
packed,4,172432.10392063076
packed,5,155638.23356020142
