library,columns,predicate,late_materialization,selectivity,num_ios,total_bytes
DataFusion,img,id >= 5000,True,0.95,44,4097216553
DataFusion,id,id >= 7500,True,0.925,32,609425
DataFusion,img,id >= 7500,True,0.925,44,4097216553
DataFusion,id,id >= 10000,True,0.9,32,609425
DataFusion,img,id >= 10000,True,0.9,44,4097216553
DataFusion,id,id >= 12500,True,0.875,32,609425
DataFusion,img,id >= 12500,True,0.875,43,3677724287
DataFusion,id,id >= 15000,True,0.85,32,609425
DataFusion,img,id >= 15000,True,0.85,43,3677724287
DataFusion,id,id >= 17500,True,0.825,32,609425
DataFusion,img,id >= 17500,True,0.825,43,3677724287
DataFusion,id,id >= 20000,True,0.8,32,609425
DataFusion,img,id >= 20000,True,0.8,43,3677724287
DataFusion,id,id >= 22500,True,0.775,32,609425
DataFusion,img,id >= 22500,True,0.775,42,3258232021
DataFusion,id,id >= 25000,True,0.75,32,609425
DataFusion,img,id >= 25000,True,0.75,42,3258232021
DataFusion,id,id >= 27500,True,0.725,32,609425
DataFusion,img,id >= 27500,True,0.725,42,3258232021
DataFusion,id,id >= 30000,True,0.7,32,609425
DataFusion,img,id >= 30000,True,0.7,42,3258232021
DataFusion,id,id >= 32500,True,0.675,32,609425
DataFusion,img,id >= 32500,True,0.675,41,2838739756
DataFusion,id,id >= 35000,True,0.65,32,609425
DataFusion,img,id >= 35000,True,0.65,40,2754840258
DataFusion,id,id >= 37500,True,0.625,32,609425
DataFusion,img,id >= 37500,True,0.625,40,2754840258
DataFusion,id,id >= 40000,True,0.6,32,609425
DataFusion,img,id >= 40000,True,0.6,40,2754840258
DataFusion,id,id >= 42500,True,0.575,32,609425
DataFusion,img,id >= 42500,True,0.575,40,2754840258
DataFusion,id,id >= 45000,True,0.55,32,609425
DataFusion,img,id >= 45000,True,0.55,39,2335347992
DataFusion,id,id >= 47500,True,0.525,32,609425
DataFusion,img,id >= 47500,True,0.525,39,2335347992
DataFusion,id,id >= 50000,True,0.5,32,609425
DataFusion,img,id >= 50000,True,0.5,39,2335347992
DataFusion,id,id >= 52500,True,0.475,32,609425
DataFusion,img,id >= 52500,True,0.475,38,1949447745
DataFusion,id,id >= 55000,True,0.45,32,609425
DataFusion,img,id >= 55000,True,0.45,38,1949447745
DataFusion,id,id >= 57500,True,0.425,32,609425
DataFusion,img,id >= 57500,True,0.425,38,1949447745
DataFusion,id,id >= 60000,True,0.4,32,609425
DataFusion,img,id >= 60000,True,0.4,38,1949447745
DataFusion,id,id >= 62500,True,0.375,32,609425
DataFusion,img,id >= 62500,True,0.375,38,1949447745
DataFusion,id,id >= 65000,True,0.35,32,609425
DataFusion,img,id >= 65000,True,0.35,37,1529955479
DataFusion,id,id >= 67500,True,0.325,32,609425
DataFusion,img,id >= 67500,True,0.325,37,1529955479
DataFusion,id,id >= 70000,True,0.3,32,609425
DataFusion,img,id >= 70000,True,0.3,37,1529955479
DataFusion,id,id >= 72500,True,0.275,32,609425
DataFusion,img,id >= 72500,True,0.275,37,1529955479
DataFusion,id,id >= 75000,True,0.25,32,609425
DataFusion,img,id >= 75000,True,0.25,36,1110463213
DataFusion,id,id >= 77500,True,0.225,32,609425
DataFusion,img,id >= 77500,True,0.225,36,1110463213
DataFusion,id,id >= 80000,True,0.2,32,609425
DataFusion,img,id >= 80000,True,0.2,36,1110463213
DataFusion,id,id >= 82500,True,0.175,32,609425
DataFusion,img,id >= 82500,True,0.175,36,1110463213
DataFusion,id,id >= 85000,True,0.15,32,609425
DataFusion,img,id >= 85000,True,0.15,35,690970947
DataFusion,id,id >= 87500,True,0.125,32,609425
DataFusion,img,id >= 87500,True,0.125,34,607071449
DataFusion,id,id >= 90000,True,0.1,32,609425
DataFusion,img,id >= 90000,True,0.1,34,607071449
DataFusion,id,id >= 92500,True,0.075,32,609425
DataFusion,img,id >= 92500,True,0.075,34,607071449
DataFusion,id,id >= 95000,True,0.05,32,609425
DataFusion,img,id >= 95000,True,0.05,34,607071449
DataFusion,id,id >= 97500,True,0.025,32,609425
DataFusion,img,id >= 97500,True,0.025,33,187579183
Lance,id,id >= 0,False,1.0,101,808928
Lance,vec,id >= 0,False,1.0,199,308008928
Lance,img,id >= 0,False,1.0,297,4097609712
Lance,id,id >= 2500,False,0.975,101,808928
Lance,vec,id >= 2500,False,0.975,199,308008928
Lance,img,id >= 2500,False,0.975,297,4097609712
Lance,id,id >= 5000,False,0.95,101,808928
Lance,vec,id >= 5000,False,0.95,199,308008928
Lance,img,id >= 5000,False,0.95,297,4097609712
Lance,id,id >= 7500,False,0.925,101,808928
Lance,vec,id >= 7500,False,0.925,199,308008928
Lance,img,id >= 7500,False,0.925,297,4097609712
Lance,id,id >= 10000,False,0.9,101,808928
Lance,vec,id >= 10000,False,0.9,199,308008928
Lance,img,id >= 10000,False,0.9,297,4097609712
Lance,id,id >= 12500,False,0.875,101,808928
Lance,vec,id >= 12500,False,0.875,199,308008928
Lance,img,id >= 12500,False,0.875,297,4097609712
Lance,id,id >= 15000,False,0.85,101,808928
Lance,vec,id >= 15000,False,0.85,199,308008928
Lance,img,id >= 15000,False,0.85,297,4097609712
Lance,id,id >= 17500,False,0.825,101,808928
Lance,vec,id >= 17500,False,0.825,199,308008928
Lance,img,id >= 17500,False,0.825,297,4097609712
Lance,id,id >= 20000,False,0.8,101,808928
Lance,vec,id >= 20000,False,0.8,199,308008928
Lance,img,id >= 20000,False,0.8,297,4097609712
Lance,id,id >= 22500,False,0.775,101,808928
Lance,vec,id >= 22500,False,0.775,199,308008928
Lance,img,id >= 22500,False,0.775,297,4097609712
Lance,id,id >= 25000,False,0.75,101,808928
Lance,vec,id >= 25000,False,0.75,199,308008928
Lance,img,id >= 25000,False,0.75,297,4097609712
Lance,id,id >= 27500,False,0.725,101,808928
Lance,vec,id >= 27500,False,0.725,199,308008928
Lance,img,id >= 27500,False,0.725,297,4097609712
Lance,id,id >= 30000,False,0.7,101,808928
Lance,vec,id >= 30000,False,0.7,199,308008928
Lance,img,id >= 30000,False,0.7,297,4097609712
Lance,id,id >= 32500,False,0.675,101,808928
Lance,vec,id >= 32500,False,0.675,199,308008928
Lance,img,id >= 32500,False,0.675,297,4097609712
Lance,id,id >= 35000,False,0.65,101,808928
Lance,vec,id >= 35000,False,0.65,199,308008928
Lance,img,id >= 35000,False,0.65,297,4097609712
Lance,id,id >= 37500,False,0.625,101,808928
Lance,vec,id >= 37500,False,0.625,199,308008928
Lance,img,id >= 37500,False,0.625,297,4097609712
Lance,id,id >= 40000,False,0.6,101,808928
Lance,vec,id >= 40000,False,0.6,199,308008928
Lance,img,id >= 40000,False,0.6,297,4097609712
Lance,id,id >= 42500,False,0.575,101,808928
Lance,vec,id >= 42500,False,0.575,199,308008928
Lance,img,id >= 42500,False,0.575,297,4097609712
Lance,id,id >= 45000,False,0.55,101,808928
Lance,vec,id >= 45000,False,0.55,199,308008928
Lance,img,id >= 45000,False,0.55,297,4097609712
Lance,id,id >= 47500,False,0.525,101,808928
Lance,vec,id >= 47500,False,0.525,199,308008928
Lance,img,id >= 47500,False,0.525,297,4097609712
Lance,id,id >= 50000,False,0.5,101,808928
Lance,vec,id >= 50000,False,0.5,199,308008928
Lance,img,id >= 50000,False,0.5,297,4097609712
Lance,id,id >= 52500,False,0.475,101,808928
Lance,vec,id >= 52500,False,0.475,199,308008928
Lance,img,id >= 52500,False,0.475,297,4097609712
Lance,id,id >= 55000,False,0.45,101,808928
Lance,vec,id >= 55000,False,0.45,199,308008928
Lance,img,id >= 55000,False,0.45,297,4097609712
Lance,id,id >= 57500,False,0.425,101,808928
Lance,vec,id >= 57500,False,0.425,199,308008928
Lance,img,id >= 57500,False,0.425,297,4097609712
Lance,id,id >= 60000,False,0.4,101,808928
Lance,vec,id >= 60000,False,0.4,199,308008928
Lance,img,id >= 60000,False,0.4,297,4097609712
Lance,id,id >= 62500,False,0.375,101,808928
Lance,vec,id >= 62500,False,0.375,199,308008928
Lance,img,id >= 62500,False,0.375,297,4097609712
Lance,id,id >= 65000,False,0.35,101,808928
Lance,vec,id >= 65000,False,0.35,199,308008928
Lance,img,id >= 65000,False,0.35,297,4097609712
Lance,id,id >= 67500,False,0.325,101,808928
Lance,vec,id >= 67500,False,0.325,199,308008928
Lance,img,id >= 67500,False,0.325,297,4097609712
Lance,id,id >= 70000,False,0.3,101,808928
Lance,vec,id >= 70000,False,0.3,199,308008928
Lance,img,id >= 70000,False,0.3,297,4097609712
Lance,id,id >= 72500,False,0.275,101,808928
Lance,vec,id >= 72500,False,0.275,199,308008928
Lance,img,id >= 72500,False,0.275,297,4097609712
Lance,id,id >= 75000,False,0.25,101,808928
Lance,vec,id >= 75000,False,0.25,199,308008928
Lance,img,id >= 75000,False,0.25,297,4097609712
Lance,id,id >= 77500,False,0.225,101,808928
Lance,vec,id >= 77500,False,0.225,199,308008928
Lance,img,id >= 77500,False,0.225,297,4097609712
Lance,id,id >= 80000,False,0.2,101,808928
Lance,vec,id >= 80000,False,0.2,199,308008928
Lance,img,id >= 80000,False,0.2,297,4097609712
Lance,id,id >= 82500,False,0.175,101,808928
Lance,vec,id >= 82500,False,0.175,199,308008928
Lance,img,id >= 82500,False,0.175,297,4097609712
Lance,id,id >= 85000,False,0.15,101,808928
Lance,vec,id >= 85000,False,0.15,199,308008928
Lance,img,id >= 85000,False,0.15,297,4097609712
Lance,id,id >= 87500,False,0.125,101,808928
Lance,vec,id >= 87500,False,0.125,199,308008928
Lance,img,id >= 87500,False,0.125,297,4097609712
Lance,id,id >= 90000,False,0.1,101,808928
Lance,vec,id >= 90000,False,0.1,199,308008928
Lance,img,id >= 90000,False,0.1,297,4097609712
Lance,id,id >= 92500,False,0.075,101,808928
Lance,vec,id >= 92500,False,0.075,199,308008928
Lance,img,id >= 92500,False,0.075,297,4097609712
Lance,id,id >= 95000,False,0.05,101,808928
Lance,vec,id >= 95000,False,0.05,199,308008928
Lance,img,id >= 95000,False,0.05,297,4097609712
Lance,id,id >= 97500,False,0.025,101,808928
Lance,vec,id >= 97500,False,0.025,199,308008928
Lance,img,id >= 97500,False,0.025,297,4097609712
PyArrow,id,(id >= 0),False,1.0,15,770813
PyArrow,vec,(id >= 0),False,1.0,15,315495647
PyArrow,img,(id >= 0),False,1.0,27,4097377941
PyArrow,id,(id >= 2500),False,0.975,15,770813
PyArrow,vec,(id >= 2500),False,0.975,15,315495647
PyArrow,img,(id >= 2500),False,0.975,27,4097377941
PyArrow,id,(id >= 5000),False,0.95,15,770813
PyArrow,vec,(id >= 5000),False,0.95,15,315495647
PyArrow,img,(id >= 5000),False,0.95,27,4097377941
PyArrow,id,(id >= 7500),False,0.925,15,770813
PyArrow,vec,(id >= 7500),False,0.925,15,315495647
PyArrow,img,(id >= 7500),False,0.925,27,4097377941
PyArrow,id,(id >= 10000),False,0.9,15,770813
PyArrow,vec,(id >= 10000),False,0.9,15,315495647
PyArrow,img,(id >= 10000),False,0.9,27,4097377941
PyArrow,id,(id >= 12500),False,0.875,15,770813
PyArrow,vec,(id >= 12500),False,0.875,15,315495647
PyArrow,img,(id >= 12500),False,0.875,27,4097377941
PyArrow,id,(id >= 15000),False,0.85,15,770813
PyArrow,vec,(id >= 15000),False,0.85,15,315495647
PyArrow,img,(id >= 15000),False,0.85,27,4097377941
PyArrow,id,(id >= 17500),False,0.825,15,770813
PyArrow,vec,(id >= 17500),False,0.825,15,315495647
PyArrow,img,(id >= 17500),False,0.825,27,4097377941
PyArrow,id,(id >= 20000),False,0.8,15,770813
PyArrow,vec,(id >= 20000),False,0.8,15,315495647
PyArrow,img,(id >= 20000),False,0.8,27,4097377941
PyArrow,id,(id >= 22500),False,0.775,15,770813
PyArrow,vec,(id >= 22500),False,0.775,15,315495647
PyArrow,img,(id >= 22500),False,0.775,27,4097377941
PyArrow,id,(id >= 25000),False,0.75,15,770813
PyArrow,vec,(id >= 25000),False,0.75,15,315495647
PyArrow,img,(id >= 25000),False,0.75,27,4097377941
PyArrow,id,(id >= 27500),False,0.725,15,770813
PyArrow,vec,(id >= 27500),False,0.725,15,315495647
PyArrow,img,(id >= 27500),False,0.725,27,4097377941
PyArrow,id,(id >= 30000),False,0.7,15,770813
PyArrow,vec,(id >= 30000),False,0.7,15,315495647
PyArrow,img,(id >= 30000),False,0.7,27,4097377941
PyArrow,id,(id >= 32500),False,0.675,15,770813
PyArrow,vec,(id >= 32500),False,0.675,15,315495647
PyArrow,img,(id >= 32500),False,0.675,27,4097377941
PyArrow,id,(id >= 35000),False,0.65,15,770813
PyArrow,vec,(id >= 35000),False,0.65,15,315495647
PyArrow,img,(id >= 35000),False,0.65,27,4097377941
PyArrow,id,(id >= 37500),False,0.625,15,770813
PyArrow,vec,(id >= 37500),False,0.625,15,315495647
PyArrow,img,(id >= 37500),False,0.625,27,4097377941
PyArrow,id,(id >= 40000),False,0.6,15,770813
PyArrow,vec,(id >= 40000),False,0.6,15,315495647
PyArrow,img,(id >= 40000),False,0.6,27,4097377941
PyArrow,id,(id >= 42500),False,0.575,15,770813
PyArrow,vec,(id >= 42500),False,0.575,15,315495647
PyArrow,img,(id >= 42500),False,0.575,27,4097377941
PyArrow,id,(id >= 45000),False,0.55,15,770813
PyArrow,vec,(id >= 45000),False,0.55,15,315495647
